date,temp,timestep,quality
1876-01-01,2.2,0,0
1876-01-02,2.5,1,0
1876-01-03,0.3,2,0
1876-01-04,-5.8,3,0
1876-01-05,-9.8,4,0
1876-01-06,-7.7,5,0
1876-01-07,-6.6,6,0
1876-01-08,-8.9,7,0
1876-01-09,-12.7,8,0
1876-01-10,-8.9,9,0
1876-01-11,-6.2,10,0
1876-01-12,-4.6,11,0
1876-01-13,-3.5,12,0
1876-01-14,-3.6,13,0
1876-01-15,-3.1,14,0
1876-01-16,-2.3,15,0
1876-01-17,-1.2,16,0
1876-01-18,0.8,17,0
1876-01-19,3.8,18,0
1876-01-20,3.3,19,0
1876-01-21,3.9,20,0
1876-01-22,1.0,21,0
1876-01-23,0.6,22,0
1876-01-24,2.5,23,0
1876-01-25,2.8,24,0
1876-01-26,0.3,25,0
1876-01-27,-0.8,26,0
1876-01-28,-2.2,27,0
1876-01-29,-1.3,28,0
1876-01-30,0.7,29,0
1876-01-31,0.3,30,0
1876-02-01,-1.2,31,0
1876-02-02,0.2,32,0
1876-02-03,0.8,33,0
1876-02-04,1.9,34,0
1876-02-05,0.6,35,0
1876-02-06,-0.8,36,0
1876-02-07,0.0,37,0
1876-02-08,-3.1,38,0
1876-02-09,-0.6,39,0
1876-02-10,-2.1,40,0
1876-02-11,-4.6,41,0
1876-02-12,-1.2,42,0
1876-02-13,-5.4,43,0
1876-02-14,-0.5,44,0
1876-02-15,3.4,45,0
1876-02-16,5.4,46,0
1876-02-17,5.6,47,0
1876-02-18,6.6,48,0
1876-02-19,8.1,49,0
1876-02-20,5.2,50,0
1876-02-21,3.9,51,0
1876-02-22,10.1,52,0
1876-02-23,8.4,53,0
1876-02-24,4.9,54,0
1876-02-25,2.9,55,0
1876-02-26,4.0,56,0
1876-02-27,7.2,57,0
1876-02-28,7.5,58,0
1876-02-29,2.1,59,0
1876-03-01,6.8,60,0
1876-03-02,8.2,61,0
1876-03-03,5.6,62,0
1876-03-04,9.7,63,0
1876-03-05,6.2,64,0
1876-03-06,6.5,65,0
1876-03-07,6.0,66,0
1876-03-08,3.9,67,0
1876-03-09,5.4,68,0
1876-03-10,4.5,69,0
1876-03-11,6.3,70,0
1876-03-12,6.2,71,0
1876-03-13,5.3,72,0
1876-03-14,4.6,73,0
1876-03-15,7.3,74,0
1876-03-16,4.7,75,0
1876-03-17,2.5,76,0
1876-03-18,2.9,77,0
1876-03-19,2.2,78,0
1876-03-20,2.3,79,0
1876-03-21,1.4,80,0
1876-03-22,-0.3,81,0
1876-03-23,2.6,82,0
1876-03-24,3.1,83,0
1876-03-25,2.2,84,0
1876-03-26,0.3,85,0
1876-03-27,1.6,86,0
1876-03-28,5.7,87,0
1876-03-29,10.0,88,0
1876-03-30,10.3,89,0
1876-03-31,9.9,90,0
1876-04-01,9.9,91,0
